Cluster,Season,Plant
1,Autumn,Mango
1,Spring,Mango
3,Autumn,Mango
1,Spring,Tomato
1,Spring,Potato
1,Winter,Potato
1,Winter,Onion
1,Autumn,Cucumber
1,Spring,Cucumber
1,Spring,Orange
3,Autumn,Date Palm
1,Winter,Wheat
1,Autumn,Rice
3,Autumn,Rice
1,Autumn,Maize
1,Spring,Maize
1,Summer,Maize
1,Winter,Maize
3,Autumn,Maize
1,Autumn,Eggplant
1,Spring,Eggplant
1,Summer,Eggplant
1,Spring,Grape
1,Spring,Lemon
1,Spring,Olive
1,Winter,Olive
3,Spring,Olive
1,Spring,Barley
1,Winter,Barley
3,Spring,Barley
3,Winter,Barley
1,Autumn,Banana
3,Autumn,Banana
1,Spring,Sorghum
1,Winter,Lentil
1,Spring,Bell Pepper
1,Winter,Carrot
1,Winter,Lettuce
1,Autumn,Okra
1,Spring,Okra
1,Summer,Okra
1,Spring,Squash
1,Spring,Pomegranate
1,Winter,Pomegranate
1,Spring,Guava
1,Winter,Peach
1,Winter,Fava Bean
1,Spring,Chickpea
1,Winter,Chickpea
3,Spring,Chickpea
3,Winter,Chickpea
